symbolic_formula,modelo,arquitectura,tiempo
0,TVAE,16-8,1.6897916793823242e-05
0,TVAE,16-8,1.6932841390371323e-05
0,TVAE,16-8,1.668906770646572e-05
0,TVAE,16-8,1.71060673892498e-05
0,TVAE,16-8,1.6824807971715927e-05
0,TVAE,16-8,1.837499439716339e-05
0,TVAE,16-8,1.689302735030651e-05
0,TVAE,16-8,1.6949838027358055e-05
0,TVAE,16-8,1.6727950423955917e-05
0,TVAE,16-8,1.6781035810709e-05
0,TVAE,16-8,1.671607606112957e-05
0,TVAE,16-8,1.6725854948163033e-05
0,TVAE,16-8,1.6764039173722267e-05
0,TVAE,16-8,1.6869977116584778e-05
0,TVAE,16-8,1.6717007383704185e-05
0,TVAE,16-8,1.6691861674189568e-05
0,TVAE,16-8,1.6783829778432846e-05
0,TVAE,16-8,1.675402745604515e-05
0,TVAE,16-8,1.670396886765957e-05
0,TVAE,16-8,1.6821082681417465e-05
0,TVAE,16-8,1.686112955212593e-05
0,TVAE,16-8,1.7006881535053253e-05
0,TVAE,16-8,1.691817305982113e-05
0,TVAE,16-8,1.696101389825344e-05
0,TVAE,16-8,1.6737030819058418e-05
0,TVAE,16-8,1.6744015738368034e-05
0,TVAE,16-8,1.7251819372177124e-05
0,TVAE,16-8,1.6829930245876312e-05
0,TVAE,16-8,1.6870908439159393e-05
0,TVAE,16-8,1.6720034182071686e-05
0,TVAE,16-8,1.6758916899561882e-05
0,TVAE,16-8,1.667393371462822e-05
0,TVAE,16-8,5.6557124480605125e-05
0,TVAE,16-8,5.7638855651021004e-05
0,TVAE,16-8,7.464317604899406e-05
0,TVAE,16-8,5.673081614077091e-05
0,TVAE,16-8,1.738988794386387e-05
0,TVAE,16-8,1.7233891412615776e-05
0,TVAE,16-8,1.6889069229364395e-05
0,TVAE,16-8,1.6813166439533234e-05
0,TVAE,16-8,1.693097874522209e-05
0,TVAE,16-8,1.6843900084495544e-05
0,TVAE,16-8,1.6771024093031883e-05
0,TVAE,16-8,1.6900012269616127e-05
0,TVAE,16-8,2.0544975996017456e-05
0,TVAE,16-8,1.7018988728523254e-05
0,TVAE,16-8,1.6969861462712288e-05
0,TVAE,16-8,1.7697224393486977e-05
0,TVAE,16-8,1.719687134027481e-05
0,TVAE,16-8,1.6881851479411125e-05
0,TVAE,16-8,1.6851117834448814e-05
0,TVAE,16-8,1.687486656010151e-05
0,TVAE,16-8,2.1609943360090256e-05
0,TVAE,16-8,3.4765107557177544e-05
0,TVAE,16-8,4.880386404693127e-05
0,TVAE,16-8,4.864716902375221e-05
0,TVAE,16-8,4.852190613746643e-05
0,TVAE,16-8,4.855194129049778e-05
0,TVAE,16-8,4.866789095103741e-05
0,TVAE,16-8,4.8690009862184525e-05
0,TVAE,16-8,4.859990440309048e-05
0,TVAE,16-8,4.8501184210181236e-05
0,TVAE,16-8,3.812694922089577e-05
0,TVAE,16-8,1.7081154510378838e-05
0,TVAE,16-8,1.6795936971902847e-05
0,TVAE,16-8,1.6920967027544975e-05
0,TVAE,16-8,1.699291169643402e-05
0,TVAE,16-8,1.675705425441265e-05
0,TVAE,16-8,1.6723060980439186e-05
0,TVAE,16-8,1.6720034182071686e-05
0,TVAE,16-8,1.6758916899561882e-05
0,TVAE,16-8,1.717405393719673e-05
0,TVAE,16-8,1.706392504274845e-05
0,TVAE,16-8,1.6906065866351128e-05
0,TVAE,16-8,1.6799895092844963e-05
0,TVAE,16-8,1.670094206929207e-05
0,TVAE,16-8,1.7108861356973648e-05
0,TVAE,16-8,1.6762875020503998e-05
0,TVAE,16-8,1.6797101125121117e-05
0,TVAE,16-8,1.6807112842798233e-05
0,TVAE,16-8,1.6754958778619766e-05
0,TVAE,16-8,1.6777077689766884e-05
0,TVAE,16-8,1.6793143004179e-05
0,TVAE,16-8,1.681712456047535e-05
0,TVAE,16-8,1.680385321378708e-05
0,TVAE,16-8,1.6764970496296883e-05
0,TVAE,16-8,1.671910285949707e-05
0,TVAE,16-8,1.6757985576987267e-05
0,TVAE,16-8,1.6788020730018616e-05
0,TVAE,16-8,1.6766833141446114e-05
0,TVAE,16-8,1.6822945326566696e-05
0,TVAE,16-8,1.674005761742592e-05
0,TVAE,16-8,1.6778940334916115e-05
0,TVAE,16-8,1.6848091036081314e-05
0,TVAE,16-8,1.6767065972089767e-05
0,TVAE,16-8,1.6988953575491905e-05
0,TVAE,16-8,1.685391180217266e-05
0,TVAE,16-8,1.6760779544711113e-05
0,TVAE,16-8,1.683691516518593e-05
0,TVAE,16-8,1.684599556028843e-05
0,TVAE,16-8,1.6841106116771698e-05
0,TVAE,16-8,1.6766833141446114e-05
0,TVAE,16-8,1.683691516518593e-05
0,TVAE,16-8,1.681898720562458e-05
0,TVAE,16-8,1.6734004020690918e-05
0,TVAE,16-8,1.6832957044243813e-05
0,TVAE,16-8,1.6761012375354767e-05
0,TVAE,16-8,1.6900943592190742e-05
0,TVAE,16-8,1.6793841496109962e-05
0,TVAE,16-8,1.6795936971902847e-05
0,TVAE,16-8,1.681107096374035e-05
0,TVAE,16-8,1.6845064237713814e-05
0,TVAE,16-8,1.6790814697742462e-05
0,TVAE,16-8,1.6771024093031883e-05
0,TVAE,16-8,1.6745878383517265e-05
0,TVAE,16-8,1.688092015683651e-05
